ID,Inizio (YYYY-MM-DD h:min:s),Inizio (DD/MM/YYYY),Fine (YYYY-MM-DD h:min:s),Fine (DD/MM/YYYY),Year,Value (μg.m-3),Comune,Indirizzo,Air Quality Station Area,Latitudine,Longitudine,EOL Code stazione,Tipo stazione,Provincia,Provincia (nome completo),Regione,Area,Area (macro)
SPO.IT2212A_20_GC-PID_2015-01-01_00:00:00,2018-01-27 22:00:00,27/01/2018,2018-01-27 23:00:00,27/01/2018,2018,"34,8",San Vitaliano,"Via Appia, 177, 80030 San Vitaliano NA, Italy",urban,"40,92431","14,48133",IT2212A,fondo,NA,Napoli,Campania,Sud,Sud e isole
SPO.IT1611A_20_GC-FID_2004-05-01_00:00:00,2022-11-08 0:00:00,08/11/2022,2022-11-08 1:00:00,08/11/2022,2022,"34,79",Taranto,"Machiavelli (Case Parcheggio), 74123 Taranto TA, Italy",suburban,"40,48861","17,22583",IT1611A,industriale,TA,Taranto,Puglia,Sud,Sud e isole
SPO.IT1947A_20_GC-FID_2009-07-14_00:00:00,2020-06-29 23:00:00,29/06/2020,2020-06-30 0:00:00,30/06/2020,2020,"34,7411",Sarroch,"Via Gioacchino Rossini, 25, 09018 Sarroch CA, Italy",urban,"39,06667","9,00889",IT1947A,fondo,CA,Cagliari,Sardegna,Isole,Sud e isole
SPO.IT0863A_20_GC-PID_1998-09-11_00:00:00,2022-06-07 3:00:00,07/06/2022,2022-06-07 4:00:00,07/06/2022,2022,"34,73686",Viterbo,"Viale Raniero Capocci, 74, 01100 Viterbo VT, Italy",urban,"42,42212","12,10920",IT0863A,traffico,VT,Viterbo,Lazio,Centro,Centro
SPO.IT1269A_20_GC-FID_2001-12-07_00:00:00,2021-07-10 23:00:00,10/07/2021,2021-07-11 0:00:00,11/07/2021,2021,"34,7079",Sarroch,"Via al Mare, 2, 09018 Sarroch CA, Italy",suburban,"39,07000","9,01667",IT1269A,industriale,CA,Cagliari,Sardegna,Isole,Sud e isole
SPO.IT2212A_20_GC-PID_2015-01-01_00:00:00,2017-12-25 19:00:00,25/12/2017,2017-12-25 20:00:00,25/12/2017,2017,"34,7",San Vitaliano,"Via Appia, 177, 80030 San Vitaliano NA, Italy",urban,"40,92431","14,48133",IT2212A,fondo,NA,Napoli,Campania,Sud,Sud e isole
SPO.IT2227A_20_GC-PID_2015-05-01_00:00:00,2017-01-01 4:00:00,01/01/2017,2017-01-01 5:00:00,01/01/2017,2017,"34,7",Avellino,"Via Piave, 11, 83100 Avellino AV, Italy",urban,"40,91882","14,78553",IT2227A,traffico,AV,Avellino,Campania,Sud,Sud e isole
SPO.IT2227A_20_GC-PID_2015-05-01_00:00:00,2019-12-26 2:00:00,26/12/2019,2019-12-26 3:00:00,26/12/2019,2019,"34,7",Avellino,"Via Piave, 11, 83100 Avellino AV, Italy",urban,"40,91882","14,78553",IT2227A,traffico,AV,Avellino,Campania,Sud,Sud e isole
SPO.IT1794A_20_GC-FID_2005-01-18_00:00:00,2015-12-28 18:00:00,28/12/2015,2015-12-28 19:00:00,28/12/2015,2015,"34,680849",Giammoro,"Via Gabbia, 15, 98042 Giammoro ME, Italy",urban,"38,20556","15,31006",IT1794A,fondo,ME,Messina,Sicilia,Isole,Sud e isole
SPO.IT1269A_20_GC-FID_2001-12-07_00:00:00,2020-06-22 1:00:00,22/06/2020,2020-06-22 2:00:00,22/06/2020,2020,"34,64125",Sarroch,"Via al Mare, 2, 09018 Sarroch CA, Italy",suburban,"39,07000","9,01667",IT1269A,industriale,CA,Cagliari,Sardegna,Isole,Sud e isole
SPO.IT1947A_20_GC-FID_2009-07-14_00:00:00,2021-07-03 3:00:00,03/07/2021,2021-07-03 4:00:00,03/07/2021,2021,"34,634",Sarroch,"Via Gioacchino Rossini, 25, 09018 Sarroch CA, Italy",urban,"39,06667","9,00889",IT1947A,fondo,CA,Cagliari,Sardegna,Isole,Sud e isole
SPO.IT2212A_20_GC-PID_2015-01-01_00:00:00,2019-01-16 21:00:00,16/01/2019,2019-01-16 22:00:00,16/01/2019,2019,"34,6",San Vitaliano,"Via Appia, 177, 80030 San Vitaliano NA, Italy",urban,"40,92431","14,48133",IT2212A,fondo,NA,Napoli,Campania,Sud,Sud e isole
SPO.IT2212A_20_GC-PID_2015-01-01_00:00:00,2019-01-19 20:00:00,19/01/2019,2019-01-19 21:00:00,19/01/2019,2019,"34,6",San Vitaliano,"Via Appia, 177, 80030 San Vitaliano NA, Italy",urban,"40,92431","14,48133",IT2212A,fondo,NA,Napoli,Campania,Sud,Sud e isole
SPO.IT2227A_20_GC-PID_2015-05-01_00:00:00,2017-01-01 20:00:00,01/01/2017,2017-01-01 21:00:00,01/01/2017,2017,"34,6",Avellino,"Via Piave, 11, 83100 Avellino AV, Italy",urban,"40,91882","14,78553",IT2227A,traffico,AV,Avellino,Campania,Sud,Sud e isole
SPO.IT2227A_20_GC-PID_2015-05-01_00:00:00,2020-01-03 19:00:00,03/01/2020,2020-01-03 20:00:00,03/01/2020,2020,"34,6",Avellino,"Via Piave, 11, 83100 Avellino AV, Italy",urban,"40,91882","14,78553",IT2227A,traffico,AV,Avellino,Campania,Sud,Sud e isole
SPO.IT2056A_20_GC-FID_2012-01-01_00:00:00,2022-07-22 15:00:00,22/07/2022,2022-07-22 16:00:00,22/07/2022,2022,"34,5951",Cagliari,"Via Diego Cadello, 276, 09121 Cagliari CA, Italy",urban,"39,23583","9,11500",IT2056A,traffico,CA,Cagliari,Sardegna,Isole,Sud e isole
SPO.IT2134A_20_GC-FID_2013-02-05_00:00:00,2023-05-20 18:00:00,20/05/2023,2023-05-20 19:00:00,20/05/2023,2023,"34,59",Narni Scalo,"Via del Lavoro, 3, 05035 Narni Scalo TR, Italy",suburban,"42,53417","12,52194",IT2134A,fondo,TR,Terni,Umbria,Centro,Centro
